Account,Day,Details,Amount,Balance,Transaction ID,Business Name
Merit Johnson (Karakata Holdings Daily Wage),302,Wage,-224.0,3723871.0,,
30 2nd Avenue Rent,302,Rent,-1158.506,3852591.0,,
Christian Hall (Karakata Holdings Daily Wage),302,Wage,-184.0,3724095.0,,
6 3rd Avenue Rent,302,Rent,-1158.506,4144933.0,,
Tommy Brooks (Katalytica Daily Wage),302,Wage,-44.0,3724279.0,12.0,Katalytica
Marketing campaigns for The Suits Law Firm,302,Marketing,-2750.0,4210658.0,18.0,The Suits Law Firm
5 8th Street Rent,302,Rent,-135.4097,3745571.0,,
Marketing campaigns for Karakata Associates,302,Marketing,-500.0,4209658.0,5.0,Karakata Associates
Marketing campaigns for Elite Couture,302,Marketing,-1350.0,4205558.0,2.0,Elite Couture
Marketing campaigns for The Green Salad,302,Marketing,-1350.0,4204208.0,17.0,The Green Salad
Marketing campaigns for Elite Jewels,302,Marketing,-9350.0,4194858.0,3.0,Elite Jewels
Marketing campaigns for Katar Midtown,302,Marketing,-9350.0,4185508.0,13.0,Katar Midtown
Georgina Lopez (Karakata Holdings Daily Wage),302,Wage,-192.0,3720231.0,,
Bank negative interest rate,302,BankNegativeInterestRate,-460405.8,3725102.0,,
Evie Jones (Katalytica Daily Wage),302,Wage,-448.0,3724923.0,12.0,Katalytica
Lily Barton (Katalytica Daily Wage),302,Wage,-344.0,3724579.0,12.0,Katalytica
Marketing campaigns for Kalico Midtown,302,Marketing,-2750.0,4206908.0,4.0,Kalico Midtown
33 5th Avenue Rent,302,Rent,-230.1557,3745707.0,,
Marketing campaigns for Katalytica,302,Marketing,-500.0,4210158.0,12.0,Katalytica
3 2nd Avenue Rent,302,Rent,-154.5364,3746083.0,,
Eliza Owens (Katar Midtown Daily Wage),302,Wage,-432.0,3720631.0,13.0,Katar Midtown
Katie Ward (Elite Jewels Daily Wage),302,Wage,-192.0,3721063.0,3.0,Elite Jewels
Christen Butler (Elite Jewels Daily Wage),302,Wage,-240.0,3721255.0,3.0,Elite Jewels
Scarlett Davis (Elite Couture Daily Wage),302,Wage,-297.0,3721495.0,2.0,Elite Couture
21 5th Avenue Rent,302,Rent,-145.9717,3745937.0,,
Douglas Collins (Karakata Holdings Daily Wage),302,Wage,-44.0,3722024.0,,
Traci Parker (Elite Jewels Daily Wage),302,Wage,-78.0,3722068.0,3.0,Elite Jewels
Annabelle Stewart (Katar Midtown Daily Wage),302,Wage,-396.0,3722146.0,13.0,Katar Midtown
Oscar Evans (Katar Midtown Daily Wage),302,Wage,-69.0,3722542.0,13.0,Katar Midtown
31 1st Avenue Rent,302,Rent,-201.106,3617525.0,,
Lara Wright (Elite Couture Daily Wage),302,Wage,-232.0,3721792.0,2.0,Elite Couture
Mollie Jenkins (Karakata Holdings Daily Wage),302,Wage,-224.0,3722611.0,,
24 2nd Avenue Rent,302,Rent,-460.3931,3746237.0,,
29 1st Avenue Rent,302,Rent,-317.3102,3721505.0,,
Grover Brown (Karakata Holdings Daily Wage),302,Wage,-200.0,3723267.0,,
29 5th Avenue Rent,302,Rent,-24.32862,3713272.0,,
Olivia Cox (Katalytica Daily Wage),302,Wage,-432.0,3722835.0,12.0,Katalytica
Lara Norris (Warehouse #1 Daily Wage),302,Wage,-153.9,3723467.0,,
1 5th Street Rent,302,Rent,-52.13275,3703796.0,,
59 3rd Street Rent,302,Rent,-75.99196,3703849.0,,
Mollie Martinez (Kalico Midtown Daily Wage),303,Wage,-200.0,3907993.0,4.0,Kalico Midtown
Ava Rogers (The Suits Law Firm Daily Wage),303,Wage,-1344.0,3895361.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),303,Wage,-1024.0,3896705.0,18.0,The Suits Law Firm
Lindsey Hall (The Suits Law Firm Daily Wage),303,Wage,-888.0,3897729.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),303,Wage,-1512.0,3898617.0,18.0,The Suits Law Firm
Helen Richardson (The Suits Law Firm Daily Wage),303,Wage,-1600.0,3900129.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),303,Wage,-1400.0,3901729.0,18.0,The Suits Law Firm
Ruth Gray (The Suits Law Firm Daily Wage),303,Wage,-1632.0,3903129.0,18.0,The Suits Law Firm
Zoe Foster (Katar Midtown Daily Wage),303,Wage,-300.0,3904761.0,13.0,Katar Midtown
Eliza Owens (Katar Midtown Daily Wage),303,Wage,-432.0,3908753.0,13.0,Katar Midtown
Mark Nelson (Katar Midtown Daily Wage),303,Wage,-516.0,3905061.0,13.0,Katar Midtown
Zoe Cooper (The Green Salad Daily Wage),303,Wage,-124.0,3905577.0,17.0,The Green Salad
Jennifer Kelly (The Green Salad Daily Wage),303,Wage,-700.0,3905701.0,17.0,The Green Salad
Helen Watson (The Green Salad Daily Wage),303,Wage,-308.0,3906401.0,17.0,The Green Salad
Elise Sanchez (The Suits Law Firm Daily Wage),303,Wage,-1368.0,3893993.0,18.0,The Suits Law Firm
Ralph Hughes (The Green Salad Daily Wage),303,Wage,-266.0,3906709.0,17.0,The Green Salad
Leon Powell (Kalico Midtown Daily Wage),303,Wage,-256.0,3906975.0,4.0,Kalico Midtown
Wilhelmina Cooper (Kalico Midtown Daily Wage),303,Wage,-330.0,3907231.0,4.0,Kalico Midtown
Kathryn James (Karakata Holdings Daily Wage),303,Wage,-208.0,3908545.0,,
Eve Sullivan (Kalico Midtown Daily Wage),303,Wage,-240.0,3907561.0,4.0,Kalico Midtown
Traci Miles (Karakata Holdings Daily Wage),303,Wage,-192.0,3907801.0,,
Georgina Lopez (Karakata Holdings Daily Wage),303,Wage,-192.0,3908353.0,,
Zachary Hill (Warehouse #2 Daily Wage),303,Wage,-159.6,3908193.0,,
Owen Martin (The Suits Law Firm Daily Wage),303,Wage,-1456.0,3892537.0,18.0,The Suits Law Firm
The Suits Law Firm Revenue,303,Revenue,67200.0,3948832.0,18.0,The Suits Law Firm
Louise Gomez (The Suits Law Firm Daily Wage),303,Wage,-1600.0,3889929.0,18.0,The Suits Law Firm
Katie Ward (Elite Jewels Daily Wage),303,Wage,-256.0,3909185.0,3.0,Elite Jewels
Elite Jewels Revenue,303,Revenue,233000.0,4314702.0,3.0,Elite Jewels
The Green Salad Revenue,303,Revenue,17425.0,4082860.0,17.0,The Green Salad
Elite Couture Revenue,303,Revenue,73540.0,4065686.0,2.0,Elite Couture
Kalico Midtown Revenue,303,Revenue,28070.0,3993273.0,4.0,Kalico Midtown
Karakata Associates Revenue,303,Revenue,6840.0,3965520.0,5.0,Karakata Associates
Katalytica Revenue,303,Revenue,10000.0,3958704.0,12.0,Katalytica
Public parking for UMC Desert,303,PublicParking,-120.0,3881833.0,,
Theodore Brown (Karakata Holdings Daily Wage),303,Wage,-160.0,3881953.0,,
Zoe Campbell (Karakata Holdings Daily Wage),303,Wage,-232.0,3882113.0,,
Isabel Roberts (The Suits Law Firm Daily Wage),303,Wage,-1008.0,3891529.0,18.0,The Suits Law Firm
Curtis Harris (Katar Midtown Daily Wage),303,Wage,-252.0,3882345.0,13.0,Katar Midtown
Replacement for Clara Williams (Elite Jewels Wage),303,ReplacementWage,-620.0,3882597.0,3.0,Elite Jewels
Sadie Powell (Karakata Associates Daily Wage),303,Wage,-40.0,3883217.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),303,Wage,-736.0,3883257.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),303,Wage,-912.0,3883993.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),303,Wage,-616.0,3884905.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),303,Wage,-984.0,3885521.0,5.0,Karakata Associates
Sonny Mitchell (Karakata Associates Daily Wage),303,Wage,-968.0,3886505.0,5.0,Karakata Associates
Kevin Bennett (The Suits Law Firm Daily Wage),303,Wage,-56.0,3887473.0,18.0,The Suits Law Firm
Leah Martin (The Suits Law Firm Daily Wage),303,Wage,-1128.0,3887529.0,18.0,The Suits Law Firm
Charlotte Murphy (The Suits Law Firm Daily Wage),303,Wage,-1272.0,3888657.0,18.0,The Suits Law Firm
Katar Midtown Revenue,303,Revenue,64527.0,4378071.0,13.0,Katar Midtown
Christen Butler (Elite Jewels Daily Wage),303,Wage,-240.0,3909441.0,3.0,Elite Jewels
Purchase from United Gasoline,303,ItemPurchase,-15.04234,3913024.0,,
Lara Wright (Elite Couture Daily Wage),303,Wage,-232.0,3909813.0,2.0,Elite Couture
Marketing campaigns for Elite Jewels,303,Marketing,-9350.0,4175451.0,3.0,Elite Jewels
Marketing campaigns for The Green Salad,303,Marketing,-1350.0,4184801.0,17.0,The Green Salad
Marketing campaigns for Elite Couture,303,Marketing,-1350.0,4186151.0,2.0,Elite Couture
Marketing campaigns for Kalico Midtown,303,Marketing,-2750.0,4187501.0,4.0,Kalico Midtown
Marketing campaigns for Karakata Associates,303,Marketing,-500.0,4190251.0,5.0,Karakata Associates
Marketing campaigns for Katalytica,303,Marketing,-500.0,4190751.0,12.0,Katalytica
Marketing campaigns for The Suits Law Firm,303,Marketing,-2750.0,4191251.0,18.0,The Suits Law Firm
Delivery from SeaSide Internationals,303,ImportDelivery,-25042.42,4194001.0,,
30 2nd Avenue Rent,303,Rent,-1158.506,3908649.0,,
19 1st Avenue Rent,303,Rent,-250.508,3894979.0,,
Marketing campaigns for Katar Midtown,303,Marketing,-9350.0,4166101.0,13.0,Katar Midtown
5 8th Street Rent,303,Rent,-135.4097,3813830.0,,
21 5th Avenue Rent,303,Rent,-145.9717,3814195.0,,
3 2nd Avenue Rent,303,Rent,-154.5364,3814341.0,,
24 2nd Avenue Rent,303,Rent,-460.3931,3814496.0,,
29 1st Avenue Rent,303,Rent,-317.3102,3786138.0,,
Scarlett Davis (Elite Couture Daily Wage),303,Wage,-132.0,3909681.0,2.0,Elite Couture
29 5th Avenue Rent,303,Rent,-24.32862,3779616.0,,
1 5th Street Rent,303,Rent,-52.13275,3769640.0,,
59 3rd Street Rent,303,Rent,-75.99196,3769692.0,,
31 1st Avenue Rent,303,Rent,-201.106,3692968.0,,
42 3rd Street rent revenue,303,RentRevenue,268.8653,3725371.0,,
33 5th Avenue Rent,303,Rent,-230.1557,3813965.0,,
3 2nd Avenue delivery from AJ Pederson & Son,303,DeliveryContract,-5390.0,4160711.0,,
6 3rd Avenue Rent,303,Rent,-1158.506,4153190.0,,
Undefined for 3 2nd Avenue,303,DeliveryContractRefund,2750.0,4160711.0,,
Lilly Harris (Elite Couture Daily Wage),303,Wage,-216.0,3910045.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),303,Wage,-54.0,3910261.0,2.0,Elite Couture
Douglas Collins (Karakata Holdings Daily Wage),303,Wage,-44.0,3910315.0,,
Traci Parker (Elite Jewels Daily Wage),303,Wage,-78.0,3910359.0,3.0,Elite Jewels
Abbie Lopez (Katar Midtown Daily Wage),303,Wage,-168.0,3910437.0,13.0,Katar Midtown
3 2nd Avenue delivery from Square Appliances,303,DeliveryContract,-2750.0,4157961.0,,
Olivia Cox (Katalytica Daily Wage),303,Wage,-432.0,3910829.0,12.0,Katalytica
Grover Brown (Karakata Holdings Daily Wage),303,Wage,-200.0,3911261.0,,
Lara Norris (Warehouse #1 Daily Wage),303,Wage,-153.9,3911461.0,,
Katherine Moss (Elite Jewels Daily Wage),303,Wage,-200.0,3911615.0,3.0,Elite Jewels
Merit Johnson (Karakata Holdings Daily Wage),303,Wage,-224.0,3911815.0,,
Mollie Jenkins (Karakata Holdings Daily Wage),303,Wage,-224.0,3910605.0,,
Tommy Brooks (Katalytica Daily Wage),303,Wage,-44.0,3912223.0,12.0,Katalytica
Ticket for illegal parking of AnselmoAF90,303,ParkingTicket,-125.0,4160586.0,,
NY AutoTow Service,303,AutoTowService,-500.0,4160086.0,,
Purchase from United Gasoline,303,ItemPurchase,-226806.4,3933279.0,,
Christian Hall (Karakata Holdings Daily Wage),303,Wage,-184.0,3912039.0,,
Evie Jones (Katalytica Daily Wage),303,Wage,-448.0,3912867.0,12.0,Katalytica
Purchase from United Gasoline,303,ItemPurchase,-20240.1,3913039.0,,
Zoe Gomez (Elite Jewels Daily Wage),303,Wage,-256.0,3912267.0,3.0,Elite Jewels
Lily Barton (Katalytica Daily Wage),303,Wage,-344.0,3912523.0,12.0,Katalytica
Eve Sullivan (Kalico Midtown Daily Wage),304,Wage,-240.0,4152506.0,4.0,Kalico Midtown
Courtney Nicholson (The Suits Law Firm Daily Wage),304,Wage,-968.0,4137668.0,18.0,The Suits Law Firm
Owen Martin (The Suits Law Firm Daily Wage),304,Wage,-1456.0,4138636.0,18.0,The Suits Law Firm
Nicholas Sanchez (The Suits Law Firm Daily Wage),304,Wage,-968.0,4140092.0,18.0,The Suits Law Firm
Elise Sanchez (The Suits Law Firm Daily Wage),304,Wage,-1368.0,4141060.0,18.0,The Suits Law Firm
Ava Rogers (The Suits Law Firm Daily Wage),304,Wage,-1344.0,4142428.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),304,Wage,-1024.0,4143772.0,18.0,The Suits Law Firm
Daisy Williams (The Suits Law Firm Daily Wage),304,Wage,-1512.0,4145684.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),304,Wage,-1400.0,4147196.0,18.0,The Suits Law Firm
Ruth Gray (The Suits Law Firm Daily Wage),304,Wage,-1632.0,4148596.0,18.0,The Suits Law Firm
Emilia White (Kalico Midtown Daily Wage),304,Wage,-224.0,4153188.0,4.0,Kalico Midtown
Zoe Foster (Katar Midtown Daily Wage),304,Wage,-300.0,4150228.0,13.0,Katar Midtown
Mark Nelson (Katar Midtown Daily Wage),304,Wage,-258.0,4150528.0,13.0,Katar Midtown
Danielle Mitchell (Kalico Midtown Daily Wage),304,Wage,-250.0,4152938.0,4.0,Kalico Midtown
Zoe Cooper (The Green Salad Daily Wage),304,Wage,-248.0,4150786.0,17.0,The Green Salad
Jennifer Kelly (The Green Salad Daily Wage),304,Wage,-350.0,4151034.0,17.0,The Green Salad
Helen Watson (The Green Salad Daily Wage),304,Wage,-616.0,4151384.0,17.0,The Green Salad
Ralph Hughes (The Green Salad Daily Wage),304,Wage,-266.0,4152000.0,17.0,The Green Salad
Joel Rogers (Kalico Midtown Daily Wage),304,Wage,-240.0,4152266.0,4.0,Kalico Midtown
Zachary Hill (Warehouse #2 Daily Wage),304,Wage,-159.6,4153412.0,,
Georgina Lopez (Karakata Holdings Daily Wage),304,Wage,-192.0,4153571.0,,
Traci Miles (Karakata Holdings Daily Wage),304,Wage,-192.0,4152746.0,,
Louise Gomez (The Suits Law Firm Daily Wage),304,Wage,-1600.0,4136068.0,18.0,The Suits Law Firm
Traci Martin (The Suits Law Firm Daily Wage),304,Wage,-1544.0,4134524.0,18.0,The Suits Law Firm
Karakata Associates Revenue,304,Revenue,6840.0,4201493.0,5.0,Karakata Associates
Kevin Bennett (The Suits Law Firm Daily Wage),304,Wage,-56.0,4133580.0,18.0,The Suits Law Firm
Katar Midtown Revenue,304,Revenue,61776.0,4561847.0,13.0,Katar Midtown
Kathryn James (Karakata Holdings Daily Wage),304,Wage,-208.0,4153763.0,,
Elite Jewels Revenue,304,Revenue,193700.0,4501229.0,3.0,Elite Jewels
The Green Salad Revenue,304,Revenue,17422.0,4308688.0,17.0,The Green Salad
Elite Couture Revenue,304,Revenue,64560.0,4291516.0,2.0,Elite Couture
Kalico Midtown Revenue,304,Revenue,26907.0,4228083.0,4.0,Kalico Midtown
Katalytica Revenue,304,Revenue,10000.0,4194678.0,12.0,Katalytica
The Suits Law Firm Revenue,304,Revenue,57600.0,4184806.0,18.0,The Suits Law Firm
Public parking for Petrolls Fanton,304,PublicParking,-30.0,4127407.0,,
Public parking for UMC Desert,304,PublicParking,-120.0,4127437.0,,
Bonnie Howard (The Suits Law Firm Daily Wage),304,Wage,-888.0,4133636.0,18.0,The Suits Law Firm
Theodore Brown (Karakata Holdings Daily Wage),304,Wage,-160.0,4127557.0,,
Curtis Harris (Katar Midtown Daily Wage),304,Wage,-252.0,4127949.0,13.0,Katar Midtown
Replacement for Justin Davis (Katar Midtown Wage),304,ReplacementWage,-195.0,4128201.0,13.0,Katar Midtown
Clara Williams (Elite Jewels Daily Wage),304,Wage,-496.0,4128396.0,3.0,Elite Jewels
Replacement for Curtis Jackson (Katar Midtown Wage),304,ReplacementWage,-180.0,4128892.0,13.0,Katar Midtown
Replacement for Sadie Powell (Karakata Associates Wage),304,ReplacementWage,-50.0,4129072.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),304,Wage,-736.0,4129122.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),304,Wage,-912.0,4129858.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),304,Wage,-616.0,4130770.0,5.0,Karakata Associates
Naomi Robinson (Karakata Associates Daily Wage),304,Wage,-984.0,4131386.0,5.0,Karakata Associates
Replacement for Sonny Mitchell (Karakata Associates Wage),304,ReplacementWage,-1210.0,4132370.0,5.0,Karakata Associates
Zoe Campbell (Karakata Holdings Daily Wage),304,Wage,-232.0,4127717.0,,
Eliza Owens (Katar Midtown Daily Wage),304,Wage,-216.0,4153971.0,13.0,Katar Midtown
Lindsey Hall (The Suits Law Firm Daily Wage),304,Wage,-888.0,4144796.0,18.0,The Suits Law Firm
Katie Ward (Elite Jewels Daily Wage),304,Wage,-256.0,4154217.0,3.0,Elite Jewels
Marketing campaigns for Katar Midtown,304,Marketing,-9350.0,4174539.0,13.0,Katar Midtown
Marketing campaigns for Elite Jewels,304,Marketing,-9350.0,4183889.0,3.0,Elite Jewels
Marketing campaigns for The Green Salad,304,Marketing,-1350.0,4193239.0,17.0,The Green Salad
Marketing campaigns for Elite Couture,304,Marketing,-1350.0,4194589.0,2.0,Elite Couture
Marketing campaigns for Kalico Midtown,304,Marketing,-2750.0,4195939.0,4.0,Kalico Midtown
Marketing campaigns for Karakata Associates,304,Marketing,-500.0,4198689.0,5.0,Karakata Associates
Marketing campaigns for Katalytica,304,Marketing,-500.0,4199189.0,12.0,Katalytica
Marketing campaigns for The Suits Law Firm,304,Marketing,-2750.0,4199689.0,18.0,The Suits Law Firm
6 3rd Avenue Rent,304,Rent,-1158.506,4313544.0,,
30 2nd Avenue Rent,304,Rent,-1158.506,4081702.0,,
19 1st Avenue Rent,304,Rent,-250.508,4065435.0,,
5 8th Street Rent,304,Rent,-135.4097,3992146.0,,
33 5th Avenue Rent,304,Rent,-230.1557,3992281.0,,
21 5th Avenue Rent,304,Rent,-145.9717,3992512.0,,
3 2nd Avenue Rent,304,Rent,-154.5364,3992658.0,,
24 2nd Avenue Rent,304,Rent,-460.3931,3992812.0,,
29 1st Avenue Rent,304,Rent,-317.3102,3965203.0,,
29 5th Avenue Rent,304,Rent,-24.32862,3958680.0,,
1 5th Street Rent,304,Rent,-52.13275,3948704.0,,
59 3rd Street Rent,304,Rent,-75.99196,3948756.0,,
31 1st Avenue Rent,304,Rent,-201.106,3881632.0,,
42 3rd Street rent revenue,304,RentRevenue,290.7497,3913315.0,,
Bradley Turner (Karvin Kween Daily Wage),304,Wage,-30.0,4154187.0,9.0,Karvin Kween
3 2nd Avenue delivery from Square Appliances,304,DeliveryContract,-2750.0,4171789.0,,
Undefined for 3 2nd Avenue,304,DeliveryContractRefund,2750.0,4174539.0,,
Delivery from United Ocean Import ,304,ImportDelivery,-175631.5,4202439.0,,
Subway Ride,304,SubwayRide,-3.0,4171656.0,,
Christen Butler (Elite Jewels Daily Wage),304,Wage,-480.0,4154473.0,3.0,Elite Jewels
Scarlett Davis (Elite Couture Daily Wage),304,Wage,-66.0,4154953.0,2.0,Elite Couture
Lara Wright (Elite Couture Daily Wage),304,Wage,-232.0,4155019.0,2.0,Elite Couture
Lilly Harris (Elite Couture Daily Wage),304,Wage,-216.0,4155251.0,2.0,Elite Couture
Frederick Kelly (Elite Couture Daily Wage),304,Wage,-54.0,4155467.0,2.0,Elite Couture
Dominic Fisher (Elite Jewels Daily Wage),304,Wage,-184.0,4155521.0,3.0,Elite Jewels
Purchase from AJ Pederson & Son,304,ItemPurchase,-2880.0,4171659.0,,
Traci Parker (Elite Jewels Daily Wage),304,Wage,-52.0,4155749.0,3.0,Elite Jewels
Abbie Lopez (Katar Midtown Daily Wage),304,Wage,-168.0,4155801.0,13.0,Katar Midtown
Mollie Jenkins (Karakata Holdings Daily Wage),304,Wage,-224.0,4155969.0,,
Tristan Barker (Katalytica Daily Wage),304,Wage,-536.0,4156193.0,12.0,Katalytica
Olivia Cox (Katalytica Daily Wage),304,Wage,-432.0,4156729.0,12.0,Katalytica
Douglas Collins (Karakata Holdings Daily Wage),304,Wage,-44.0,4155705.0,,
Lara Norris (Warehouse #1 Daily Wage),304,Wage,-153.9,4157361.0,,
Grover Brown (Karakata Holdings Daily Wage),304,Wage,-200.0,4157161.0,,
Interior Designer,304,InteriorDesigner,-11175.0,4158125.0,,
Taxi Ride,304,TaxiRide,-56.6099,4169300.0,,
Evie Jones (Katalytica Daily Wage),304,Wage,-448.0,4157967.0,12.0,Katalytica
Christian Hall (Karakata Holdings Daily Wage),304,Wage,-184.0,4157739.0,,
Tommy Brooks (Katalytica Daily Wage),304,Wage,-44.0,4157923.0,12.0,Katalytica
Purchase from AJ Pederson & Son,304,ItemPurchase,-2300.0,4169356.0,,
Merit Johnson (Karakata Holdings Daily Wage),304,Wage,-224.0,4157515.0,,
Courtney Nicholson (The Suits Law Firm Daily Wage),305,Wage,-968.0,4513197.0,18.0,The Suits Law Firm
Traci Martin (The Suits Law Firm Daily Wage),305,Wage,-772.0,4510825.0,18.0,The Suits Law Firm
Isabel Roberts (The Suits Law Firm Daily Wage),305,Wage,-1344.0,4514165.0,18.0,The Suits Law Firm
Nicholas Sanchez (The Suits Law Firm Daily Wage),305,Wage,-968.0,4515509.0,18.0,The Suits Law Firm
Elise Sanchez (The Suits Law Firm Daily Wage),305,Wage,-1368.0,4516477.0,18.0,The Suits Law Firm
Bonnie Howard (The Suits Law Firm Daily Wage),305,Wage,-888.0,4509937.0,18.0,The Suits Law Firm
Taylor Myers (The Suits Law Firm Daily Wage),305,Wage,-1024.0,4517845.0,18.0,The Suits Law Firm
Louise Gomez (The Suits Law Firm Daily Wage),305,Wage,-1600.0,4511597.0,18.0,The Suits Law Firm
Danielle Mitchell (Kalico Midtown Daily Wage),305,Wage,-200.0,4527125.0,4.0,Kalico Midtown
Daisy Williams (The Suits Law Firm Daily Wage),305,Wage,-1512.0,4519757.0,18.0,The Suits Law Firm
Helen Richardson (The Suits Law Firm Daily Wage),305,Wage,-800.0,4521269.0,18.0,The Suits Law Firm
Ava Powell (The Suits Law Firm Daily Wage),305,Wage,-1400.0,4522069.0,18.0,The Suits Law Firm
Ruth Gray (The Suits Law Firm Daily Wage),305,Wage,-1632.0,4523469.0,18.0,The Suits Law Firm
Zoe Cooper (The Green Salad Daily Wage),305,Wage,-186.0,4525101.0,17.0,The Green Salad
Emilia White (Kalico Midtown Daily Wage),305,Wage,-224.0,4527325.0,4.0,Kalico Midtown
Harvey Anderson (The Green Salad Daily Wage),305,Wage,-224.0,4525287.0,17.0,The Green Salad
Helen Watson (The Green Salad Daily Wage),305,Wage,-616.0,4525511.0,17.0,The Green Salad
Ralph Hughes (The Green Salad Daily Wage),305,Wage,-266.0,4526127.0,17.0,The Green Salad
Joel Rogers (Kalico Midtown Daily Wage),305,Wage,-240.0,4526393.0,4.0,Kalico Midtown
Margaret Smith (The Suits Law Firm Daily Wage),305,Wage,-928.0,4509009.0,18.0,The Suits Law Firm
Eve Sullivan (Kalico Midtown Daily Wage),305,Wage,-300.0,4526633.0,4.0,Kalico Midtown
Lindsey Hall (The Suits Law Firm Daily Wage),305,Wage,-888.0,4518869.0,18.0,The Suits Law Firm
Kevin Bennett (The Suits Law Firm Daily Wage),305,Wage,-56.0,4508953.0,18.0,The Suits Law Firm
Kalico Midtown Revenue,305,Revenue,28055.0,4612531.0,4.0,Kalico Midtown
Naomi Robinson (Karakata Associates Daily Wage),305,Wage,-984.0,4507001.0,5.0,Karakata Associates
Katar Midtown Revenue,305,Revenue,64581.0,5009661.0,13.0,Katar Midtown
Elite Jewels Revenue,305,Revenue,233400.0,4946238.0,3.0,Elite Jewels
The Green Salad Revenue,305,Revenue,17383.0,4713997.0,17.0,The Green Salad
Elite Couture Revenue,305,Revenue,75940.0,4696864.0,2.0,Elite Couture
Karvin Kween Revenue,305,Revenue,9520.0,4621436.0,9.0,Karvin Kween
Zachary Hill (Warehouse #2 Daily Wage),305,Wage,-159.6,4527549.0,,
Karakata Associates Revenue,305,Revenue,6840.0,4584793.0,5.0,Karakata Associates
Katalytica Revenue,305,Revenue,10000.0,4577978.0,12.0,Katalytica
The Suits Law Firm Revenue,305,Revenue,64800.0,4568106.0,18.0,The Suits Law Firm
Public parking for Mersaidi S500,305,PublicParking,-7.5,4503507.0,,
Public parking for Petrolls Fanton,305,PublicParking,-7.5,4503514.0,,
Public parking for UMC Desert,305,PublicParking,-120.0,4503522.0,,
Theodore Brown (Karakata Holdings Daily Wage),305,Wage,-160.0,4503642.0,,
Zoe Campbell (Karakata Holdings Daily Wage),305,Wage,-232.0,4503802.0,,
Curtis Harris (Katar Midtown Daily Wage),305,Wage,-63.0,4504034.0,13.0,Katar Midtown
Justin Davis (Katar Midtown Daily Wage),305,Wage,-312.0,4504097.0,13.0,Katar Midtown
Curtis Jackson (Katar Midtown Daily Wage),305,Wage,-288.0,4504409.0,13.0,Katar Midtown
Sadie Powell (Karakata Associates Daily Wage),305,Wage,-40.0,4504697.0,5.0,Karakata Associates
Homer Foster (Karakata Associates Daily Wage),305,Wage,-736.0,4504737.0,5.0,Karakata Associates
Roosevelt Wright (Karakata Associates Daily Wage),305,Wage,-912.0,4505473.0,5.0,Karakata Associates
Stephanie Wilson (Karakata Associates Daily Wage),305,Wage,-616.0,4506385.0,5.0,Karakata Associates
Sonny Mitchell (Karakata Associates Daily Wage),305,Wage,-968.0,4507985.0,5.0,Karakata Associates
Georgina Lopez (Karakata Holdings Daily Wage),305,Wage,-192.0,4527708.0,,
Traci Miles (Karakata Holdings Daily Wage),305,Wage,-192.0,4526933.0,,
Justin Mitchell (Karvin Kween Daily Wage),305,Wage,-208.0,4528108.0,9.0,Karvin Kween
Marketing campaigns for Karvin Kween,305,Marketing,-500.0,4533447.0,9.0,Karvin Kween
Marketing campaigns for Katar Midtown,305,Marketing,-9350.0,4533947.0,13.0,Katar Midtown
Marketing campaigns for Elite Jewels,305,Marketing,-9350.0,4543297.0,3.0,Elite Jewels
Marketing campaigns for Katalytica,305,Marketing,-500.0,4558597.0,12.0,Katalytica
Marketing campaigns for The Suits Law Firm,305,Marketing,-2750.0,4559097.0,18.0,The Suits Law Firm
6 3rd Avenue Rent,305,Rent,-1158.506,4500071.0,,
42 3rd Street rent revenue,305,RentRevenue,290.7497,4158415.0,,
30 2nd Avenue Rent,305,Rent,-1158.506,4307529.0,,
31 1st Avenue Rent,305,Rent,-201.106,4127206.0,,
Marketing campaigns for Karvin Kween,305,Marketing,-100.0,4533347.0,9.0,Karvin Kween
19 1st Avenue Rent,305,Rent,-250.508,4291266.0,,
5 8th Street Rent,305,Rent,-135.4097,4226956.0,,
Marketing campaigns for The Green Salad,305,Marketing,-1350.0,4552647.0,17.0,The Green Salad
33 5th Avenue Rent,305,Rent,-230.1557,4227092.0,,
Kathryn James (Karakata Holdings Daily Wage),305,Wage,-208.0,4527900.0,,
1 5th Street Rent,305,Rent,-52.13275,4184678.0,,
21 5th Avenue Rent,305,Rent,-145.9717,4227322.0,,
29 5th Avenue Rent,305,Rent,-24.32862,4194653.0,,
