Account,Day,Details,Amount,Balance
Katara Jewels Revenue,89,Revenue,1600.0,18704.49
Marketing campaigns for Elite Jewels,90,Marketing,-500.0,12326.44
Marketing campaigns for Katara Jewels,90,Marketing,-100.0,12226.44
Lily Barton (Katalytica Daily Wage),90,Wage,-430.0,11787.44
Zoe Gomez (Elite Jewels Daily Wage),90,Wage,-128.0,11659.44
Tommy Brooks (Katalytica Daily Wage),90,Wage,-88.0,11571.44
Katherine Moss (Elite Jewels Daily Wage),90,Wage,-50.0,11521.44
Katalytica Revenue,90,Revenue,960.0,12471.96
Elite Jewels Revenue,90,Revenue,9000.0,21407.64
Katara Jewels Revenue,90,Revenue,800.0,22039.1
Marketing campaigns for Elite Jewels,91,Marketing,-500.0,21521.1
Marketing campaigns for Katara Jewels,91,Marketing,-100.0,21421.1
Evie Jones (Katalytica Daily Wage),91,Wage,-280.0,21135.1
Lily Barton (Katalytica Daily Wage),91,Wage,-215.0,20920.1
Tommy Brooks (Katalytica Daily Wage),91,Wage,-88.0,20832.1
Katalytica Revenue,91,Revenue,1200.0,22022.62
Katara Jewels Revenue,91,Revenue,1200.0,22989.76
Marketing campaigns for Elite Jewels,92,Marketing,-500.0,22471.76
Marketing campaigns for Katara Jewels,92,Marketing,-100.0,22371.76
Evie Jones (Katalytica Daily Wage),92,Wage,-560.0,21805.76
Zoe Gomez (Elite Jewels Daily Wage),92,Wage,-256.0,21549.76
Tommy Brooks (Katalytica Daily Wage),92,Wage,-88.0,21461.76
Katherine Moss (Elite Jewels Daily Wage),92,Wage,-25.0,21028.76
Katalytica Revenue,92,Revenue,1200.0,22219.28
Elite Jewels Revenue,92,Revenue,12000.0,34154.96
Katara Jewels Revenue,92,Revenue,1200.0,35186.42
Marketing campaigns for Elite Jewels,93,Marketing,-500.0,34668.42
Marketing campaigns for Katara Jewels,93,Marketing,-100.0,34568.42
Evie Jones (Katalytica Daily Wage),93,Wage,-560.0,34002.42
Zoe Gomez (Elite Jewels Daily Wage),93,Wage,-256.0,33746.42
Tommy Brooks (Katalytica Daily Wage),93,Wage,-88.0,33658.42
Katherine Moss (Elite Jewels Daily Wage),93,Wage,-25.0,33225.42
Katalytica Revenue,93,Revenue,960.0,34022.04
Elite Jewels Revenue,93,Revenue,12000.0,45957.72
Katara Jewels Revenue,93,Revenue,600.0,46389.18
Marketing campaigns for Elite Jewels,94,Marketing,-500.0,45871.18
Marketing campaigns for Katara Jewels,94,Marketing,-100.0,45771.18
Evie Jones (Katalytica Daily Wage),94,Wage,-560.0,42705.18
Zoe Gomez (Elite Jewels Daily Wage),94,Wage,-32.0,42673.18
Tommy Brooks (Katalytica Daily Wage),94,Wage,-88.0,42585.18
Katherine Moss (Elite Jewels Daily Wage),94,Wage,-200.0,41977.18
Katalytica Revenue,94,Revenue,960.0,42773.8
Elite Jewels Revenue,94,Revenue,16000.0,58709.48
Katara Jewels Revenue,94,Revenue,600.0,59140.93
Marketing campaigns for Elite Jewels,95,Marketing,-500.0,58622.93
Marketing campaigns for Katara Jewels,95,Marketing,-100.0,58522.93
Evie Jones (Katalytica Daily Wage),95,Wage,-280.0,58242.93
Lily Barton (Katalytica Daily Wage),95,Wage,-215.0,58027.93
Zoe Gomez (Elite Jewels Daily Wage),95,Wage,-32.0,57995.93
Tommy Brooks (Katalytica Daily Wage),95,Wage,-66.0,57929.93
Katherine Moss (Elite Jewels Daily Wage),95,Wage,-200.0,57321.93
Maria Willis (Katara Jewels Daily Wage),95,Wage,-200.0,56818.04
Lindsey Richardson (Katara Jewels Daily Wage),95,Wage,-100.0,56718.04
Katalytica Revenue,95,Revenue,960.0,57668.55
Elite Jewels Revenue,95,Revenue,16000.0,73604.23
Katara Jewels Revenue,95,Revenue,600.0,74035.7
Marketing campaigns for Elite Jewels,96,Marketing,-500.0,42303.93
Lily Barton (Katalytica Daily Wage),96,Wage,-430.0,41873.93
Zoe Gomez (Elite Jewels Daily Wage),96,Wage,-256.0,41617.93
Tommy Brooks (Katalytica Daily Wage),96,Wage,-88.0,41529.93
Katherine Moss (Elite Jewels Daily Wage),96,Wage,-25.0,41096.93
Maria Willis (Katara Jewels Daily Wage),96,Wage,-200.0,40543.03
Lindsey Richardson (Katara Jewels Daily Wage),96,Wage,-200.0,40343.03
Katalytica Revenue,96,Revenue,960.0,41293.55
Elite Jewels Revenue,96,Revenue,16000.0,57229.23
Katara Jewels Revenue,96,Revenue,1200.0,58260.68
Marketing campaigns for Elite Jewels,97,Marketing,-500.0,57742.68
Lily Barton (Katalytica Daily Wage),97,Wage,-430.0,35240.68
Zoe Gomez (Elite Jewels Daily Wage),97,Wage,-32.0,35208.68
Tommy Brooks (Katalytica Daily Wage),97,Wage,-88.0,35120.68
Katherine Moss (Elite Jewels Daily Wage),97,Wage,-200.0,34920.68
Maria Willis (Katara Jewels Daily Wage),97,Wage,-200.0,34566.79
Lindsey Richardson (Katara Jewels Daily Wage),97,Wage,-200.0,34366.79
Katalytica Revenue,97,Revenue,960.0,35317.3
Elite Jewels Revenue,97,Revenue,16000.0,51252.98
Katara Jewels Revenue,97,Revenue,1200.0,52284.44
Marketing campaigns for Elite Jewels,98,Marketing,-500.0,17979.48
Evie Jones (Katalytica Daily Wage),98,Wage,-280.0,6683.484
Lily Barton (Katalytica Daily Wage),98,Wage,-215.0,6468.484
Zoe Gomez (Elite Jewels Daily Wage),98,Wage,-96.0,6372.484
Tommy Brooks (Katalytica Daily Wage),98,Wage,-88.0,6284.484
Katherine Moss (Elite Jewels Daily Wage),98,Wage,-75.0,6209.484
Katalytica Revenue,98,Revenue,960.0,7006.106
Elite Jewels Revenue,98,Revenue,12000.0,18941.79
Marketing campaigns for Elite Jewels,99,Marketing,-500.0,18273.24
Evie Jones (Katalytica Daily Wage),99,Wage,-560.0,17713.24
Zoe Gomez (Elite Jewels Daily Wage),99,Wage,-256.0,17457.24
Tommy Brooks (Katalytica Daily Wage),99,Wage,-88.0,17369.24
Katherine Moss (Elite Jewels Daily Wage),99,Wage,-25.0,16936.24
Maria Willis (Katara Jewels Daily Wage),99,Wage,-200.0,16382.34
Lindsey Richardson (Katara Jewels Daily Wage),99,Wage,-200.0,16182.34
Katalytica Revenue,99,Revenue,1200.0,17372.87
Elite Jewels Revenue,99,Revenue,16000.0,33308.55
Katara Jewels Revenue,99,Revenue,2200.0,35340.0
Marketing campaigns for Elite Jewels,100,Marketing,-500.0,34840.0
Evie Jones (Katalytica Daily Wage),100,Wage,-560.0,32080.0
Zoe Gomez (Elite Jewels Daily Wage),100,Wage,-256.0,31824.0
Tommy Brooks (Katalytica Daily Wage),100,Wage,-88.0,31736.0
Katherine Moss (Elite Jewels Daily Wage),100,Wage,-25.0,31303.0
Maria Willis (Katara Jewels Daily Wage),100,Wage,-200.0,30749.1
Lindsey Richardson (Katara Jewels Daily Wage),100,Wage,-200.0,30549.1
Katalytica Revenue,100,Revenue,960.0,31499.63
Elite Jewels Revenue,100,Revenue,16000.0,47435.3
Katara Jewels Revenue,100,Revenue,2200.0,49466.76
Marketing campaigns for Elite Jewels,101,Marketing,-500.0,48966.76
Evie Jones (Katalytica Daily Wage),101,Wage,-560.0,44716.76
Zoe Gomez (Elite Jewels Daily Wage),101,Wage,-32.0,44684.76
Tommy Brooks (Katalytica Daily Wage),101,Wage,-88.0,44596.76
Katherine Moss (Elite Jewels Daily Wage),101,Wage,-200.0,43988.76
Maria Willis (Katara Jewels Daily Wage),101,Wage,-200.0,43434.86
Lindsey Richardson (Katara Jewels Daily Wage),101,Wage,-200.0,43234.86
Katalytica Revenue,101,Revenue,960.0,44185.38
Elite Jewels Revenue,101,Revenue,16000.0,60121.06
Katara Jewels Revenue,101,Revenue,2200.0,62152.52
Marketing campaigns for Elite Jewels,102,Marketing,-500.0,24196.0
Evie Jones (Katalytica Daily Wage),102,Wage,-280.0,23916.0
Lily Barton (Katalytica Daily Wage),102,Wage,-215.0,23701.0
Zoe Gomez (Elite Jewels Daily Wage),102,Wage,-32.0,23669.0
Tommy Brooks (Katalytica Daily Wage),102,Wage,-66.0,23603.0
Katherine Moss (Elite Jewels Daily Wage),102,Wage,-200.0,22995.0
Maria Willis (Katara Jewels Daily Wage),102,Wage,-200.0,22441.1
Lindsey Richardson (Katara Jewels Daily Wage),102,Wage,-200.0,22241.1
Olivia Cox (Katalytica Daily Wage),102,Wage,-162.0,22079.1
Tristan Barker (Katalytica Daily Wage),102,Wage,-134.0,21945.1
Katalytica Revenue,102,Revenue,960.0,22888.12
Elite Jewels Revenue,102,Revenue,16000.0,38823.8
Katara Jewels Revenue,102,Revenue,2200.0,40855.25
Marketing campaigns for Elite Jewels,103,Marketing,-500.0,40355.25
Marketing campaigns for Katalytica,103,Marketing,-500.0,39855.25
Lily Barton (Katalytica Daily Wage),103,Wage,-430.0,39425.25
Zoe Gomez (Elite Jewels Daily Wage),103,Wage,-256.0,39169.25
Tommy Brooks (Katalytica Daily Wage),103,Wage,-88.0,39081.25
Katherine Moss (Elite Jewels Daily Wage),103,Wage,-25.0,38648.25
Maria Willis (Katara Jewels Daily Wage),103,Wage,-200.0,38094.36
Lindsey Richardson (Katara Jewels Daily Wage),103,Wage,-200.0,37894.36
Olivia Cox (Katalytica Daily Wage),103,Wage,-432.0,37462.36
Tristan Barker (Katalytica Daily Wage),103,Wage,-134.0,37328.36
Westbrook Walker (Katalytica Daily Wage),103,Wage,-528.0,36800.36
Katalytica Revenue,103,Revenue,960.0,37750.88
Elite Jewels Revenue,103,Revenue,16000.0,53686.55
Katara Jewels Revenue,103,Revenue,2800.0,56318.01
Marketing campaigns for Katalytica,104,Marketing,-600.0,55718.01
Marketing campaigns for Elite Jewels,104,Marketing,-500.0,55218.01
Lily Barton (Katalytica Daily Wage),104,Wage,-430.0,54788.01
Zoe Gomez (Elite Jewels Daily Wage),104,Wage,-32.0,54756.01
Tommy Brooks (Katalytica Daily Wage),104,Wage,-88.0,54668.01
Katherine Moss (Elite Jewels Daily Wage),104,Wage,-200.0,54468.01
Maria Willis (Katara Jewels Daily Wage),104,Wage,-200.0,54114.11
Lindsey Richardson (Katara Jewels Daily Wage),104,Wage,-200.0,53914.11
Tristan Barker (Katalytica Daily Wage),104,Wage,-670.0,53244.11
Katalytica Revenue,104,Revenue,1920.0,55154.63
Elite Jewels Revenue,104,Revenue,16000.0,71090.31
Katara Jewels Revenue,104,Revenue,2800.0,73721.77
Marketing campaigns for Katalytica,105,Marketing,-600.0,35665.25
Marketing campaigns for Elite Jewels,105,Marketing,-500.0,35165.25
Evie Jones (Katalytica Daily Wage),105,Wage,-280.0,34885.25
Lily Barton (Katalytica Daily Wage),105,Wage,-215.0,34670.25
Zoe Gomez (Elite Jewels Daily Wage),105,Wage,-96.0,34574.25
Tommy Brooks (Katalytica Daily Wage),105,Wage,-88.0,34486.25
Katherine Moss (Elite Jewels Daily Wage),105,Wage,-75.0,34411.25
Tristan Barker (Katalytica Daily Wage),105,Wage,-670.0,33587.35
Katalytica Revenue,105,Revenue,960.0,34537.87
Elite Jewels Revenue,105,Revenue,12000.0,46473.55
Marketing campaigns for Elite Jewels,106,Marketing,-500.0,45805.01
Evie Jones (Katalytica Daily Wage),106,Wage,-560.0,45245.01
Zoe Gomez (Elite Jewels Daily Wage),106,Wage,-256.0,44989.01
Tommy Brooks (Katalytica Daily Wage),106,Wage,-88.0,44901.01
Katherine Moss (Elite Jewels Daily Wage),106,Wage,-25.0,44468.01
Maria Willis (Katara Jewels Daily Wage),106,Wage,-200.0,43914.11
Lindsey Richardson (Katara Jewels Daily Wage),106,Wage,-200.0,43714.11
Olivia Cox (Katalytica Daily Wage),106,Wage,-432.0,43282.11
Tristan Barker (Katalytica Daily Wage),106,Wage,-134.0,43148.11
Westbrook Walker (Katalytica Daily Wage),106,Wage,-528.0,42620.11
Katalytica Revenue,106,Revenue,960.0,43570.63
Elite Jewels Revenue,106,Revenue,16000.0,59506.31
Katara Jewels Revenue,106,Revenue,2200.0,61537.77
Marketing campaigns for Katalytica,107,Marketing,-100.0,61437.77
Marketing campaigns for Elite Jewels,107,Marketing,-500.0,60937.77
Evie Jones (Katalytica Daily Wage),107,Wage,-560.0,60377.77
Zoe Gomez (Elite Jewels Daily Wage),107,Wage,-256.0,60121.77
Tommy Brooks (Katalytica Daily Wage),107,Wage,-88.0,60033.77
Katherine Moss (Elite Jewels Daily Wage),107,Wage,-25.0,59600.77
Maria Willis (Katara Jewels Daily Wage),107,Wage,-200.0,59046.87
Lindsey Richardson (Katara Jewels Daily Wage),107,Wage,-200.0,58846.87
Olivia Cox (Katalytica Daily Wage),107,Wage,-432.0,58414.87
Tristan Barker (Katalytica Daily Wage),107,Wage,-134.0,58280.87
Westbrook Walker (Katalytica Daily Wage),107,Wage,-528.0,57752.87
Katalytica Revenue,107,Revenue,960.0,58703.39
Elite Jewels Revenue,107,Revenue,16000.0,74639.06
Katara Jewels Revenue,107,Revenue,2000.0,76470.52
Marketing campaigns for Katalytica,108,Marketing,-500.0,75970.52
Marketing campaigns for Elite Jewels,108,Marketing,-500.0,75470.52
Evie Jones (Katalytica Daily Wage),108,Wage,-560.0,74910.52
Zoe Gomez (Elite Jewels Daily Wage),108,Wage,-32.0,74878.52
Tommy Brooks (Katalytica Daily Wage),108,Wage,-88.0,74790.52
Katherine Moss (Elite Jewels Daily Wage),108,Wage,-200.0,74182.52
Maria Willis (Katara Jewels Daily Wage),108,Wage,-200.0,73628.63
Lindsey Richardson (Katara Jewels Daily Wage),108,Wage,-200.0,73428.63
Olivia Cox (Katalytica Daily Wage),108,Wage,-432.0,72996.63
Tristan Barker (Katalytica Daily Wage),108,Wage,-134.0,72862.63
Westbrook Walker (Katalytica Daily Wage),108,Wage,-528.0,72334.63
Katalytica Revenue,108,Revenue,960.0,73285.15
Elite Jewels Revenue,108,Revenue,16000.0,89220.83
Katara Jewels Revenue,108,Revenue,2200.0,91252.29
Marketing campaigns for Katalytica,109,Marketing,-500.0,53295.77
Marketing campaigns for Elite Jewels,109,Marketing,-500.0,52795.77
Evie Jones (Katalytica Daily Wage),109,Wage,-280.0,52435.77
Lily Barton (Katalytica Daily Wage),109,Wage,-215.0,52220.77
Zoe Gomez (Elite Jewels Daily Wage),109,Wage,-32.0,52188.77
Tommy Brooks (Katalytica Daily Wage),109,Wage,-66.0,52122.77
Katherine Moss (Elite Jewels Daily Wage),109,Wage,-200.0,51514.77
Maria Willis (Katara Jewels Daily Wage),109,Wage,-200.0,50960.87
Lindsey Richardson (Katara Jewels Daily Wage),109,Wage,-200.0,50760.87
Olivia Cox (Katalytica Daily Wage),109,Wage,-432.0,50328.87
Tristan Barker (Katalytica Daily Wage),109,Wage,-134.0,50194.87
Westbrook Walker (Katalytica Daily Wage),109,Wage,-528.0,49666.87
Katalytica Revenue,109,Revenue,960.0,50617.39
Elite Jewels Revenue,109,Revenue,16000.0,66553.06
Katara Jewels Revenue,109,Revenue,600.0,66984.52
Marketing campaigns for Katalytica,110,Marketing,-600.0,66384.52
Marketing campaigns for Elite Jewels,110,Marketing,-500.0,65884.52
Zoe Gomez (Elite Jewels Daily Wage),110,Wage,-256.0,54711.77
Katherine Moss (Elite Jewels Daily Wage),110,Wage,-25.0,54278.77
Maria Willis (Katara Jewels Daily Wage),110,Wage,-200.0,53724.87
Lindsey Richardson (Katara Jewels Daily Wage),110,Wage,-200.0,53524.87
Elite Jewels Revenue,110,Revenue,16000.0,69385.55
Katara Jewels Revenue,110,Revenue,1000.0,70164.88
Marketing campaigns for Elite Jewels,111,Marketing,-500.0,69664.88
Marketing campaigns for Katalytica,111,Marketing,-250.0,69414.88
Evie Jones (Katalytica Daily Wage),111,Wage,-448.0,68966.88
Zoe Gomez (Elite Jewels Daily Wage),111,Wage,-32.0,68934.88
Tommy Brooks (Katalytica Daily Wage),111,Wage,-44.0,68890.88
Katherine Moss (Elite Jewels Daily Wage),111,Wage,-200.0,68690.88
Maria Willis (Katara Jewels Daily Wage),111,Wage,-200.0,68336.98
Lindsey Richardson (Katara Jewels Daily Wage),111,Wage,-200.0,68136.98
Olivia Cox (Katalytica Daily Wage),111,Wage,-432.0,67704.98
Westbrook Walker (Katalytica Daily Wage),111,Wage,-528.0,67176.98
Elite Jewels Revenue,111,Revenue,16000.0,83112.66
Katara Jewels Revenue,111,Revenue,1000.0,83891.98
Marketing campaigns for Elite Jewels,112,Marketing,-500.0,83391.98
Marketing campaigns for Katalytica,112,Marketing,-250.0,83141.98
Zoe Gomez (Elite Jewels Daily Wage),112,Wage,-96.0,83045.98
Tommy Brooks (Katalytica Daily Wage),112,Wage,-44.0,83001.98
Katherine Moss (Elite Jewels Daily Wage),112,Wage,-75.0,82926.98
Olivia Cox (Katalytica Daily Wage),112,Wage,-432.0,82341.09
Tristan Barker (Katalytica Daily Wage),112,Wage,-536.0,81805.09
Westbrook Walker (Katalytica Daily Wage),112,Wage,-528.0,81277.09
Elite Jewels Revenue,112,Revenue,12000.0,93212.77
Marketing campaigns for Elite Jewels,113,Marketing,-500.0,92492.09
Marketing campaigns for Katalytica,113,Marketing,-250.0,92242.09
Evie Jones (Katalytica Daily Wage),113,Wage,-448.0,81647.46
Lily Barton (Katalytica Daily Wage),113,Wage,-344.0,81303.46
Zoe Gomez (Elite Jewels Daily Wage),113,Wage,-256.0,81047.46
Tommy Brooks (Katalytica Daily Wage),113,Wage,-44.0,81003.46
Katherine Moss (Elite Jewels Daily Wage),113,Wage,-25.0,80570.46
Maria Willis (Katara Jewels Daily Wage),113,Wage,-200.0,80016.56
Lindsey Richardson (Katara Jewels Daily Wage),113,Wage,-200.0,79816.56
Olivia Cox (Katalytica Daily Wage),113,Wage,-432.0,79384.56
Elite Jewels Revenue,113,Revenue,16000.0,95320.24
Katara Jewels Revenue,113,Revenue,600.0,95699.57
Marketing campaigns for Elite Jewels,114,Marketing,-500.0,95199.57
Marketing campaigns for Katalytica,114,Marketing,-250.0,94949.57
Evie Jones (Katalytica Daily Wage),114,Wage,-448.0,94501.57
Lily Barton (Katalytica Daily Wage),114,Wage,-344.0,94157.57
Zoe Gomez (Elite Jewels Daily Wage),114,Wage,-256.0,93901.57
Tommy Brooks (Katalytica Daily Wage),114,Wage,-44.0,93857.57
Katherine Moss (Elite Jewels Daily Wage),114,Wage,-25.0,93424.57
Maria Willis (Katara Jewels Daily Wage),114,Wage,-200.0,92870.67
Lindsey Richardson (Katara Jewels Daily Wage),114,Wage,-200.0,92670.67
Olivia Cox (Katalytica Daily Wage),114,Wage,-432.0,92238.67
Elite Jewels Revenue,114,Revenue,16000.0,108174.4
Katara Jewels Revenue,114,Revenue,600.0,108553.7
Marketing campaigns for Elite Jewels,115,Marketing,-500.0,73640.13
Marketing campaigns for Katalytica,115,Marketing,-250.0,73390.13
Marketing campaigns for Katalytica,115,Marketing,-500.0,72887.13
Evie Jones (Katalytica Daily Wage),115,Wage,-448.0,72436.13
Zoe Gomez (Elite Jewels Daily Wage),115,Wage,-32.0,72404.13
Tommy Brooks (Katalytica Daily Wage),115,Wage,-44.0,72360.13
Katherine Moss (Elite Jewels Daily Wage),115,Wage,-200.0,71752.13
Maria Willis (Katara Jewels Daily Wage),115,Wage,-200.0,71198.23
Lindsey Richardson (Katara Jewels Daily Wage),115,Wage,-200.0,70998.23
Olivia Cox (Katalytica Daily Wage),115,Wage,-432.0,70566.23
Tristan Barker (Katalytica Daily Wage),115,Wage,-536.0,70030.23
Elite Jewels Revenue,115,Revenue,16000.0,85965.91
Katara Jewels Revenue,115,Revenue,600.0,86345.23
Marketing campaigns for Elite Jewels,116,Marketing,-500.0,85845.23
Marketing campaigns for Katalytica,116,Marketing,-750.0,85095.23
Evie Jones (Katalytica Daily Wage),116,Wage,-448.0,84647.23
Zoe Gomez (Elite Jewels Daily Wage),116,Wage,-32.0,84615.23
Tommy Brooks (Katalytica Daily Wage),116,Wage,-44.0,84571.23
Katherine Moss (Elite Jewels Daily Wage),116,Wage,-200.0,83963.23
Maria Willis (Katara Jewels Daily Wage),116,Wage,-200.0,83409.34
Lindsey Richardson (Katara Jewels Daily Wage),116,Wage,-200.0,83209.34
Olivia Cox (Katalytica Daily Wage),116,Wage,-432.0,82777.34
Tristan Barker (Katalytica Daily Wage),116,Wage,-536.0,82241.34
Elite Jewels Revenue,116,Revenue,16000.0,98177.02
Katalytica Revenue,116,Revenue,480.0,98478.55
Katara Jewels Revenue,116,Revenue,600.0,99036.34
Marketing campaigns for Elite Jewels,117,Marketing,-500.0,98536.34
Marketing campaigns for Katalytica,117,Marketing,-750.0,97786.34
Evie Jones (Katalytica Daily Wage),117,Wage,-448.0,97338.34
Lily Barton (Katalytica Daily Wage),117,Wage,-344.0,96994.34
Zoe Gomez (Elite Jewels Daily Wage),117,Wage,-256.0,96738.34
Tommy Brooks (Katalytica Daily Wage),117,Wage,-44.0,96694.34
Katherine Moss (Elite Jewels Daily Wage),117,Wage,-25.0,96261.34
Maria Willis (Katara Jewels Daily Wage),117,Wage,-200.0,95707.45
Lindsey Richardson (Katara Jewels Daily Wage),117,Wage,-200.0,95507.45
Westbrook Walker (Katalytica Daily Wage),117,Wage,-528.0,94979.45
Elite Jewels Revenue,117,Revenue,16000.0,110915.1
Katalytica Revenue,117,Revenue,720.0,111456.7
Katara Jewels Revenue,117,Revenue,1200.0,112614.5
Marketing campaigns for Elite Jewels,118,Marketing,-500.0,112114.5
Marketing campaigns for Katalytica,118,Marketing,-750.0,111364.5
Evie Jones (Katalytica Daily Wage),118,Wage,-448.0,110916.5
Zoe Gomez (Elite Jewels Daily Wage),118,Wage,-32.0,110884.5
Tommy Brooks (Katalytica Daily Wage),118,Wage,-44.0,110840.5
Katherine Moss (Elite Jewels Daily Wage),118,Wage,-200.0,110640.5
Maria Willis (Katara Jewels Daily Wage),118,Wage,-200.0,110286.6
Lindsey Richardson (Katara Jewels Daily Wage),118,Wage,-200.0,110086.6
Olivia Cox (Katalytica Daily Wage),118,Wage,-432.0,109654.6
Elite Jewels Revenue,118,Revenue,16000.0,125590.2
Katalytica Revenue,118,Revenue,1440.0,126851.8
Katara Jewels Revenue,118,Revenue,1200.0,128009.6
Marketing campaigns for Elite Jewels,119,Marketing,-500.0,127509.6
Marketing campaigns for Katalytica,119,Marketing,-750.0,126759.6
Marketing campaigns for Katara Jewels,119,Marketing,-100.0,126659.6
Lily Barton (Katalytica Daily Wage),119,Wage,-258.0,126401.6
Zoe Gomez (Elite Jewels Daily Wage),119,Wage,-96.0,126305.6
Tommy Brooks (Katalytica Daily Wage),119,Wage,-44.0,126261.6
Katherine Moss (Elite Jewels Daily Wage),119,Wage,-75.0,126186.6
Olivia Cox (Katalytica Daily Wage),119,Wage,-432.0,125600.7
Tristan Barker (Katalytica Daily Wage),119,Wage,-536.0,125064.7
Elite Jewels Revenue,119,Revenue,12000.0,137000.3
Katalytica Revenue,119,Revenue,1500.0,138321.9
Marketing campaigns for Elite Jewels,120,Marketing,-500.0,137779.7
Marketing campaigns for Katalytica,120,Marketing,-750.0,137029.7
Marketing campaigns for Katara Jewels,120,Marketing,-100.0,136929.7
Evie Jones (Katalytica Daily Wage),120,Wage,-448.0,121413.4
Lily Barton (Katalytica Daily Wage),120,Wage,-344.0,121069.4
Zoe Gomez (Elite Jewels Daily Wage),120,Wage,-256.0,120813.4
Tommy Brooks (Katalytica Daily Wage),120,Wage,-44.0,120769.4
Katherine Moss (Elite Jewels Daily Wage),120,Wage,-25.0,120336.4
Maria Willis (Katara Jewels Daily Wage),120,Wage,-200.0,119782.5
Lindsey Richardson (Katara Jewels Daily Wage),120,Wage,-200.0,119582.5
Olivia Cox (Katalytica Daily Wage),120,Wage,-432.0,119150.5
Elite Jewels Revenue,120,Revenue,16000.0,135018.7
Katalytica Revenue,120,Revenue,750.0,135590.3
Katara Jewels Revenue,120,Revenue,1200.0,136748.0
Marketing campaigns for Elite Jewels,121,Marketing,-500.0,136248.0
Marketing campaigns for Katalytica,121,Marketing,-750.0,135498.0
Marketing campaigns for Katara Jewels,121,Marketing,-100.0,135398.0
Evie Jones (Katalytica Daily Wage),121,Wage,-448.0,133424.0
Lily Barton (Katalytica Daily Wage),121,Wage,-344.0,133080.0
Zoe Gomez (Elite Jewels Daily Wage),121,Wage,-256.0,132824.0
Tommy Brooks (Katalytica Daily Wage),121,Wage,-44.0,132780.0
Katherine Moss (Elite Jewels Daily Wage),121,Wage,-25.0,132347.0
Maria Willis (Katara Jewels Daily Wage),121,Wage,-200.0,131793.1
Lindsey Richardson (Katara Jewels Daily Wage),121,Wage,-200.0,131593.1
Olivia Cox (Katalytica Daily Wage),121,Wage,-432.0,131161.1
Elite Jewels Revenue,121,Revenue,14000.0,145096.8
Katalytica Revenue,121,Revenue,750.0,145668.4
Katara Jewels Revenue,121,Revenue,600.0,146226.2
Marketing campaigns for Elite Jewels,122,Marketing,-500.0,89384.58
Marketing campaigns for Katalytica,122,Marketing,-750.0,88634.58
Marketing campaigns for Katara Jewels,122,Marketing,-100.0,88534.58
Evie Jones (Katalytica Daily Wage),122,Wage,-448.0,88080.58
Zoe Gomez (Elite Jewels Daily Wage),122,Wage,-32.0,88048.58
Tommy Brooks (Katalytica Daily Wage),122,Wage,-44.0,88004.58
Katherine Moss (Elite Jewels Daily Wage),122,Wage,-200.0,87396.58
Maria Willis (Katara Jewels Daily Wage),122,Wage,-200.0,86842.68
Lindsey Richardson (Katara Jewels Daily Wage),122,Wage,-200.0,86642.68
Olivia Cox (Katalytica Daily Wage),122,Wage,-432.0,86210.68
Tristan Barker (Katalytica Daily Wage),122,Wage,-536.0,85674.68
Elite Jewels Revenue,122,Revenue,16000.0,101610.4
Katalytica Revenue,122,Revenue,1200.0,102631.9
Katara Jewels Revenue,122,Revenue,600.0,103189.7
Marketing campaigns for Elite Jewels,123,Marketing,-500.0,102689.7
Marketing campaigns for Katalytica,123,Marketing,-750.0,101939.7
Marketing campaigns for Katara Jewels,123,Marketing,-100.0,101839.7
Evie Jones (Katalytica Daily Wage),123,Wage,-448.0,100305.7
Zoe Gomez (Elite Jewels Daily Wage),123,Wage,-32.0,100273.7
Tommy Brooks (Katalytica Daily Wage),123,Wage,-44.0,100229.7
Katherine Moss (Elite Jewels Daily Wage),123,Wage,-200.0,99621.69
Maria Willis (Katara Jewels Daily Wage),123,Wage,-200.0,99067.79
Lindsey Richardson (Katara Jewels Daily Wage),123,Wage,-200.0,98867.79
Olivia Cox (Katalytica Daily Wage),123,Wage,-432.0,98435.79
Tristan Barker (Katalytica Daily Wage),123,Wage,-536.0,97899.79
Elite Jewels Revenue,123,Revenue,16000.0,113835.5
Katalytica Revenue,123,Revenue,1200.0,114857.0
Katara Jewels Revenue,123,Revenue,600.0,115414.8
Marketing campaigns for Elite Jewels,124,Marketing,-500.0,114914.8
Marketing campaigns for Katalytica,124,Marketing,-750.0,114164.8
Marketing campaigns for Katara Jewels,124,Marketing,-100.0,114064.8
Evie Jones (Katalytica Daily Wage),124,Wage,-448.0,113604.8
Lily Barton (Katalytica Daily Wage),124,Wage,-344.0,113260.8
Zoe Gomez (Elite Jewels Daily Wage),124,Wage,-256.0,113004.8
Tommy Brooks (Katalytica Daily Wage),124,Wage,-44.0,112960.8
Katherine Moss (Elite Jewels Daily Wage),124,Wage,-25.0,112527.8
Maria Willis (Katara Jewels Daily Wage),124,Wage,-200.0,111973.9
Lindsey Richardson (Katara Jewels Daily Wage),124,Wage,-200.0,111773.9
Tristan Barker (Katalytica Daily Wage),124,Wage,-402.0,111371.9
Elite Jewels Revenue,124,Revenue,16000.0,127307.6
Katalytica Revenue,124,Revenue,2800.0,129929.1
Katara Jewels Revenue,124,Revenue,1200.0,131086.9
Marketing campaigns for Elite Jewels,125,Marketing,-500.0,130586.9
Marketing campaigns for Katalytica,125,Marketing,-750.0,129836.9
