Account,Day,Details,Amount,Balance,Transaction ID,Net Daily Revenue
42 3rd Street Rent,170,Rent,-38.02306,466956.8,,
30 4th Avenue Rent,170,Rent,-85.7595,466871.1,,
59 3rd Street Rent,170,Rent,-75.99196,471940.1,,
1 5th Street Rent,170,Rent,-52.13275,471887.9,,
48 1st Street Rent,170,Rent,-12.32229,466994.8,,
30 2nd Avenue Rent,170,Rent,-1158.506,477957.3,,
Vantander Bank Loan Payment,170,LoanPayment,-517.0,517440.3,,
7 3rd Avenue Rent,170,Rent,-42.2027,477245.8,,
Marketing campaigns for Katalytica,170,Marketing,-500.0,516440.3,WK7WS,
Marketing campaigns for Karvin Kueen,170,Marketing,-500.0,515940.3,K3NN0,
Marketing campaigns for Elite Jewels,170,Marketing,-6500.0,509440.3,CGCEK,
Evie Jones (Katalytica Daily Wage),170,Wage,-448.0,508992.3,WK7WS,
Lily Barton (Katalytica Daily Wage),170,Wage,-344.0,508648.3,WK7WS,
Zoe Gomez (Elite Jewels Daily Wage),170,Wage,-256.0,508392.3,CGCEK,
Marketing campaigns for Katar Spirits,170,Marketing,-500.0,516940.3,TJ27F,
Olivia Cox (Katalytica Daily Wage),171,Wage,-432.0,553702.6,WK7WS,
Tristan Barker (Katalytica Daily Wage),171,Wage,-536.0,553166.6,WK7WS,
Maya Turner (Karvin Kueen Daily Wage),171,Wage,-32.0,553134.6,K3NN0,
Mollie Jenkins (KaraKata Holdings Daily Wage),171,Wage,-224.0,552910.6,,
Oscar Evans (Katar Spirits Daily Wage),171,Wage,-46.0,552864.6,TJ27F,
Annabelle Stewart (Katar Spirits Daily Wage),171,Wage,-264.0,552600.6,TJ27F,
Katalytica Revenue,171,Revenue,5400.0,561566.4,WK7WS,
Douglas Collins (KaraKata Holdings Daily Wage),171,Wage,-44.0,552372.6,,
Dominic Fisher (Elite Jewels Daily Wage),171,Wage,-184.0,552188.6,CGCEK,
Katar Spirits Revenue,171,Revenue,4242.0,556294.5,TJ27F,
Lindsey Richardson (Elite Jewels Daily Wage),171,Wage,-200.0,554134.6,CGCEK,
Karvin Kueen Revenue,171,Revenue,1360.0,562884.2,K3NN0,
Elite Jewels Revenue,171,Revenue,47500.0,609225.7,CGCEK,
Curtis Norris (Elite Jewels Daily Wage),171,Wage,-184.0,552416.6,CGCEK,
Maria Willis (Karvin Kueen Daily Wage),171,Wage,-200.0,554334.6,K3NN0,
Grover Brown (KaraKata Holdings Daily Wage),171,Wage,-200.0,554534.6,,
Lara Norris (Warehouse #1 Daily Wage),171,Wage,-153.9,554734.6,,
30 4th Avenue Rent,171,Rent,-85.7595,505992.3,,
59 3rd Street Rent,171,Rent,-75.99196,510944.3,,
42 3rd Street Rent,171,Rent,-38.02306,506078.0,,
1 5th Street Rent,171,Rent,-52.13275,510892.1,,
7 3rd Avenue Rent,171,Rent,-42.2027,516249.9,,
30 2nd Avenue Rent,171,Rent,-1158.506,516961.4,,
Vantander Bank Loan Payment,171,LoanPayment,-517.0,563944.4,,
48 1st Street Rent,171,Rent,-12.32229,506116.0,,
Marketing campaigns for Katalytica,171,Marketing,-500.0,562944.4,WK7WS,
Marketing campaigns for Karvin Kueen,171,Marketing,-500.0,562444.4,K3NN0,
Marketing campaigns for Elite Jewels,171,Marketing,-6500.0,555944.4,CGCEK,
HRManager training for Christian Hall,171,EmployeeTraining,-340.0,555604.4,,
Evie Jones (Katalytica Daily Wage),171,Wage,-448.0,555156.4,WK7WS,
Tommy Brooks (Katalytica Daily Wage),171,Wage,-44.0,555112.4,WK7WS,
Merit Johnson (KaraKata Holdings Daily Wage),171,Wage,-224.0,554888.4,,
Marketing campaigns for Katar Spirits,171,Marketing,-500.0,563444.4,TJ27F,
Annabelle Stewart (Katar Spirits Daily Wage),172,Wage,-198.0,98578.79,TJ27F,
Olivia Cox (Katalytica Daily Wage),172,Wage,-432.0,99614.79,WK7WS,
Tristan Barker (Katalytica Daily Wage),172,Wage,-536.0,99078.79,WK7WS,
Maya Turner (Karvin Kueen Daily Wage),172,Wage,-32.0,99046.79,K3NN0,
Mollie Jenkins (KaraKata Holdings Daily Wage),172,Wage,-224.0,98822.79,,
Oscar Evans (Katar Spirits Daily Wage),172,Wage,-46.0,98776.79,TJ27F,
Abbie Lopez (Katar Spirits Daily Wage),172,Wage,-56.0,98522.79,TJ27F,
Katar Spirits Revenue,172,Revenue,5121.0,103095.7,TJ27F,
Douglas Collins (KaraKata Holdings Daily Wage),172,Wage,-44.0,98294.79,,
Dominic Fisher (Elite Jewels Daily Wage),172,Wage,-184.0,98110.79,CGCEK,
Lindsey Richardson (Elite Jewels Daily Wage),172,Wage,-200.0,100046.8,CGCEK,
Katalytica Revenue,172,Revenue,5400.0,108367.6,WK7WS,
Karvin Kueen Revenue,172,Revenue,1870.0,110195.4,K3NN0,
Elite Jewels Revenue,172,Revenue,40000.0,149036.8,CGCEK,
Curtis Norris (Elite Jewels Daily Wage),172,Wage,-184.0,98338.79,CGCEK,
Maria Willis (Karvin Kueen Daily Wage),172,Wage,-200.0,100246.8,K3NN0,
Grover Brown (KaraKata Holdings Daily Wage),172,Wage,-200.0,100446.8,,
Lara Norris (Warehouse #1 Daily Wage),172,Wage,-153.9,100646.8,,
30 4th Avenue Rent,172,Rent,-85.7595,552052.5,,
59 3rd Street Rent,172,Rent,-75.99196,556218.5,,
1 5th Street Rent,172,Rent,-52.13275,556166.4,,
42 3rd Street Rent,172,Rent,-38.02306,552138.3,,
30 2nd Avenue Rent,172,Rent,-1158.506,561725.7,,
Vantander Bank Loan Payment,172,LoanPayment,-517.0,608708.7,,
Marketing campaigns for Katar Spirits,172,Marketing,-500.0,608208.7,TJ27F,
7 3rd Avenue Rent,172,Rent,-42.2027,561524.2,,
Marketing campaigns for Karvin Kueen,172,Marketing,-500.0,607208.7,K3NN0,
Marketing campaigns for Elite Jewels,172,Marketing,-6500.0,600708.7,CGCEK,
Vantander Bank Loan Pay Off,172,LoanPayOff,-499192.0,101516.7,,
Evie Jones (Katalytica Daily Wage),172,Wage,-448.0,101068.7,WK7WS,
Tommy Brooks (Katalytica Daily Wage),172,Wage,-44.0,101024.7,WK7WS,
Merit Johnson (KaraKata Holdings Daily Wage),172,Wage,-224.0,100800.7,,
Marketing campaigns for Katalytica,172,Marketing,-500.0,607708.7,WK7WS,
48 1st Street Rent,172,Rent,-12.32229,552176.3,,
Grover Brown (KaraKata Holdings Daily Wage),173,Wage,-200.0,125256.9,,
Maria Willis (Karvin Kueen Daily Wage),173,Wage,-100.0,125156.9,K3NN0,
Tristan Barker (Katalytica Daily Wage),173,Wage,-402.0,124754.9,WK7WS,
Maya Turner (Karvin Kueen Daily Wage),173,Wage,-160.0,124594.9,K3NN0,
Mollie Jenkins (KaraKata Holdings Daily Wage),173,Wage,-224.0,124370.9,,
Oscar Evans (Katar Spirits Daily Wage),173,Wage,-46.0,124324.9,TJ27F,
Katalytica Revenue,173,Revenue,5400.0,134194.7,WK7WS,
Douglas Collins (KaraKata Holdings Daily Wage),173,Wage,-44.0,123770.9,,
Dominic Fisher (Elite Jewels Daily Wage),173,Wage,-184.0,123586.9,CGCEK,
Katar Spirits Revenue,173,Revenue,5472.0,128922.8,TJ27F,
Lara Norris (Warehouse #1 Daily Wage),173,Wage,-153.9,125456.9,,
Karvin Kueen Revenue,173,Revenue,1870.0,136022.5,K3NN0,
Elite Jewels Revenue,173,Revenue,37500.0,172364.0,CGCEK,
Abbie Lopez (Katar Spirits Daily Wage),173,Wage,-224.0,124100.9,TJ27F,
Merit Johnson (KaraKata Holdings Daily Wage),173,Wage,-224.0,125610.8,,
Traci Parker (Elite Jewels Daily Wage),173,Wage,-286.0,123814.9,CGCEK,
Lily Barton (Katalytica Daily Wage),173,Wage,-344.0,125878.8,WK7WS,
59 3rd Street Rent,173,Rent,-75.99196,103019.7,,
48 1st Street Rent,173,Rent,-12.32229,98098.47,,
1 5th Street Rent,173,Rent,-52.13275,102967.6,,
Tommy Brooks (Katalytica Daily Wage),173,Wage,-44.0,125834.8,WK7WS,
7 3rd Avenue Rent,173,Rent,-42.2027,108325.4,,
42 3rd Street Rent,173,Rent,-38.02306,98060.45,,
Marketing campaigns for Katar Spirits,173,Marketing,-500.0,148536.8,TJ27F,
30 2nd Avenue Rent,173,Rent,-1158.506,109036.9,,
Marketing campaigns for Karvin Kueen,173,Marketing,-500.0,147536.8,K3NN0,
Marketing campaigns for Elite Jewels,173,Marketing,-6500.0,141036.8,CGCEK,
HRManager training for Christian Hall,173,EmployeeTraining,-360.0,140676.8,,
Subway Ride,173,SubwayRide,-3.0,140673.8,,
Lace Global A investment,173,Investment,-14000.0,126673.8,,
Subway Ride,173,SubwayRide,-3.0,126670.8,,
Evie Jones (Katalytica Daily Wage),173,Wage,-448.0,126222.8,WK7WS,
Marketing campaigns for Katalytica,173,Marketing,-500.0,148036.8,WK7WS,
30 4th Avenue Rent,173,Rent,-85.7595,97974.69,,
Maya Turner (Karvin Kueen Daily Wage),174,Wage,-160.0,163026.1,K3NN0,
Oscar Evans (Katar Spirits Daily Wage),174,Wage,-46.0,162980.1,TJ27F,
Abbie Lopez (Katar Spirits Daily Wage),174,Wage,-224.0,162756.1,TJ27F,
Karvin Kueen Revenue,174,Revenue,2210.0,181787.7,K3NN0,
Dominic Fisher (Elite Jewels Daily Wage),174,Wage,-184.0,162364.1,CGCEK,
Katar Spirits Revenue,174,Revenue,6720.0,168948.0,TJ27F,
Katalytica Revenue,174,Revenue,10800.0,179619.9,WK7WS,
Olivia Cox (Katalytica Daily Wage),174,Wage,-432.0,163186.1,WK7WS,
Elite Jewels Revenue,174,Revenue,60000.0,240629.2,CGCEK,
Traci Parker (Elite Jewels Daily Wage),174,Wage,-208.0,162548.1,CGCEK,
Maria Willis (Karvin Kueen Daily Wage),174,Wage,-100.0,163618.1,K3NN0,
Marketing campaigns for Katalytica,174,Marketing,-500.0,171364.0,WK7WS,
Tommy Brooks (Katalytica Daily Wage),174,Wage,-44.0,163872.0,WK7WS,
30 4th Avenue Rent,174,Rent,-85.7595,123450.8,,
Lara Norris (Warehouse #1 Daily Wage),174,Wage,-153.9,163718.1,,
59 3rd Street Rent,174,Rent,-75.99196,128846.9,,
1 5th Street Rent,174,Rent,-52.13275,128794.7,,
48 1st Street Rent,174,Rent,-12.32229,123574.6,,
42 3rd Street Rent,174,Rent,-38.02306,123536.6,,
30 2nd Avenue Rent,174,Rent,-1158.506,134864.0,,
Marketing campaigns for Katar Spirits,174,Marketing,-500.0,171864.0,TJ27F,
Marketing campaigns for Karvin Kueen,174,Marketing,-500.0,170864.0,K3NN0,
Marketing campaigns for Elite Jewels,174,Marketing,-6500.0,164364.0,CGCEK,
Evie Jones (Katalytica Daily Wage),174,Wage,-448.0,163916.0,WK7WS,
7 3rd Avenue Rent,174,Rent,-42.2027,134152.5,,
Traci Parker (Elite Jewels Daily Wage),175,Wage,-208.0,229896.3,CGCEK,
Oscar Evans (Katar Spirits Daily Wage),175,Wage,-46.0,230512.3,TJ27F,
Abbie Lopez (Katar Spirits Daily Wage),175,Wage,-224.0,230288.3,TJ27F,
Curtis Norris (Elite Jewels Daily Wage),175,Wage,-184.0,230104.3,CGCEK,
Maya Turner (Karvin Kueen Daily Wage),175,Wage,-192.0,230558.3,K3NN0,
Katar Spirits Revenue,175,Revenue,6231.0,235807.2,TJ27F,
Tristan Barker (Katalytica Daily Wage),175,Wage,-536.0,230750.3,WK7WS,
Katalytica Revenue,175,Revenue,10800.0,246479.1,WK7WS,
Karvin Kueen Revenue,175,Revenue,1870.0,248306.9,K3NN0,
Elite Jewels Revenue,175,Revenue,52500.0,299648.4,CGCEK,
Dominic Fisher (Elite Jewels Daily Wage),175,Wage,-184.0,229712.3,CGCEK,
Maria Willis (Karvin Kueen Daily Wage),175,Wage,-75.0,231718.3,K3NN0,
Olivia Cox (Katalytica Daily Wage),175,Wage,-432.0,231286.3,WK7WS,
Tommy Brooks (Katalytica Daily Wage),175,Wage,-44.0,231947.2,WK7WS,
30 4th Avenue Rent,175,Rent,-85.7595,162228.0,,
59 3rd Street Rent,175,Rent,-75.99196,168872.0,,
Lara Norris (Warehouse #1 Daily Wage),175,Wage,-153.9,231793.3,,
48 1st Street Rent,175,Rent,-12.32229,162351.8,,
1 5th Street Rent,175,Rent,-52.13275,168819.9,,
7 3rd Avenue Rent,175,Rent,-42.2027,179577.7,,
30 2nd Avenue Rent,175,Rent,-1158.506,180629.2,,
42 3rd Street Rent,175,Rent,-38.02306,162313.8,,
Marketing campaigns for Katalytica,175,Marketing,-500.0,239629.2,WK7WS,
Marketing campaigns for Karvin Kueen,175,Marketing,-500.0,239129.2,K3NN0,
Marketing campaigns for Elite Jewels,175,Marketing,-6500.0,232629.2,CGCEK,
HRManager training for Christian Hall,175,EmployeeTraining,-380.0,232249.2,,
Lily Barton (Katalytica Daily Wage),175,Wage,-258.0,231991.2,WK7WS,
Marketing campaigns for Katar Spirits,175,Marketing,-500.0,240129.2,TJ27F,
Mollie Jenkins (KaraKata Holdings Daily Wage),176,Wage,-224.0,256659.2,,
Lindsey Richardson (Elite Jewels Daily Wage),176,Wage,-150.0,257347.2,CGCEK,
Maya Turner (Karvin Kueen Daily Wage),176,Wage,-32.0,256883.2,K3NN0,
Grover Brown (KaraKata Holdings Daily Wage),176,Wage,-200.0,257697.2,,
Maria Willis (Karvin Kueen Daily Wage),176,Wage,-200.0,257497.2,K3NN0,
Douglas Collins (KaraKata Holdings Daily Wage),176,Wage,-44.0,256227.2,,
Annabelle Stewart (Katar Spirits Daily Wage),176,Wage,-264.0,256349.2,TJ27F,
Traci Parker (Elite Jewels Daily Wage),176,Wage,-78.0,256271.2,CGCEK,
Katar Spirits Revenue,176,Revenue,4929.0,261020.0,TJ27F,
Katalytica Revenue,176,Revenue,5400.0,266291.9,WK7WS,
Elite Jewels Revenue,176,Revenue,40000.0,306961.3,CGCEK,
Lara Norris (Warehouse #1 Daily Wage),176,Wage,-153.9,257897.2,,
Oscar Evans (Katar Spirits Daily Wage),176,Wage,-46.0,256613.2,TJ27F,
Katherine Moss (Elite Jewels Daily Wage),176,Wage,-200.0,258051.1,CGCEK,
Karvin Kueen Revenue,176,Revenue,1870.0,268119.8,K3NN0,
Tommy Brooks (Katalytica Daily Wage),176,Wage,-44.0,258475.1,WK7WS,
Merit Johnson (KaraKata Holdings Daily Wage),176,Wage,-224.0,258251.1,,
48 1st Street Rent,176,Rent,-12.32229,229700.0,,
42 3rd Street Rent,176,Rent,-38.02306,229661.9,,
30 4th Avenue Rent,176,Rent,-85.7595,229576.2,,
59 3rd Street Rent,176,Rent,-75.99196,235731.2,,
1 5th Street Rent,176,Rent,-52.13275,235679.1,,
7 3rd Avenue Rent,176,Rent,-42.2027,246436.9,,
30 2nd Avenue Rent,176,Rent,-1158.506,247148.4,,
Olivia Cox (Katalytica Daily Wage),176,Wage,-432.0,256915.2,WK7WS,
Marketing campaigns for Katalytica,176,Marketing,-500.0,298648.4,WK7WS,
Zoe Gomez (Elite Jewels Daily Wage),176,Wage,-256.0,258519.1,CGCEK,
Evie Jones (Katalytica Daily Wage),176,Wage,-448.0,259119.1,WK7WS,
Bank negative interest rate,176,BankNegativeInterestRate,-32081.32,259567.1,,
Marketing campaigns for Katar Spirits,176,Marketing,-500.0,299148.4,TJ27F,
Lily Barton (Katalytica Daily Wage),176,Wage,-344.0,258775.1,WK7WS,
Marketing campaigns for Karvin Kueen,176,Marketing,-500.0,298148.4,K3NN0,
Marketing campaigns for Elite Jewels,176,Marketing,-6500.0,291648.4,CGCEK,
Katar Spirits Revenue,177,Revenue,4857.0,286312.6,TJ27F,
Christian Hall (KaraKata Holdings Daily Wage),177,Wage,-184.0,283811.6,,
Merit Johnson (KaraKata Holdings Daily Wage),177,Wage,-224.0,283587.6,,
Katherine Moss (Elite Jewels Daily Wage),177,Wage,-200.0,283387.6,CGCEK,
Lara Norris (Warehouse #1 Daily Wage),177,Wage,-153.9,283233.7,,
Grover Brown (KaraKata Holdings Daily Wage),177,Wage,-200.0,283033.7,,
Maria Willis (Karvin Kueen Daily Wage),177,Wage,-200.0,282833.7,K3NN0,
Lindsey Richardson (Elite Jewels Daily Wage),177,Wage,-200.0,282633.7,CGCEK,
Maya Turner (Karvin Kueen Daily Wage),177,Wage,-32.0,282169.7,K3NN0,
Oscar Evans (Katar Spirits Daily Wage),177,Wage,-46.0,281899.7,TJ27F,
Tommy Brooks (Katalytica Daily Wage),177,Wage,-44.0,283995.6,WK7WS,
Annabelle Stewart (Katar Spirits Daily Wage),177,Wage,-264.0,281635.7,TJ27F,
Elite Jewels Revenue,177,Revenue,47500.0,339618.3,CGCEK,
Douglas Collins (KaraKata Holdings Daily Wage),177,Wage,-44.0,281591.7,,
Karvin Kueen Revenue,177,Revenue,1870.0,293412.3,K3NN0,
Katalytica Revenue,177,Revenue,5400.0,291584.4,WK7WS,
Olivia Cox (Katalytica Daily Wage),177,Wage,-432.0,282201.7,WK7WS,
Zoe Gomez (Elite Jewels Daily Wage),177,Wage,-256.0,284039.6,CGCEK,
Mollie Jenkins (KaraKata Holdings Daily Wage),177,Wage,-224.0,281945.7,,
Evie Jones (Katalytica Daily Wage),177,Wage,-448.0,284639.6,WK7WS,
42 3rd Street Rent,177,Rent,-38.02306,256176.8,,
30 4th Avenue Rent,177,Rent,-85.7595,256091.0,,
59 3rd Street Rent,177,Rent,-75.99196,260944.1,,
1 5th Street Rent,177,Rent,-52.13275,260891.9,,
7 3rd Avenue Rent,177,Rent,-42.2027,266249.8,,
48 1st Street Rent,177,Rent,-12.32229,256214.8,,
Marketing campaigns for Katar Spirits,177,Marketing,-500.0,306461.3,TJ27F,
Marketing campaigns for Katalytica,177,Marketing,-500.0,305961.3,WK7WS,
Marketing campaigns for Karvin Kueen,177,Marketing,-500.0,305461.3,K3NN0,
30 2nd Avenue Rent,177,Rent,-1158.506,266961.3,,
Purchase from AJ Pederson & Son,177,ItemPurchase,-980.0,297981.3,,
Purchase from NY Distro Inc,177,ItemPurchase,-288.0,285087.6,,
Purchase from NY Distro Inc,177,ItemPurchase,-432.0,285375.6,,
Marketing campaigns for Elite Jewels,177,Marketing,-6500.0,298961.3,CGCEK,
Purchase from NY Distro Inc,177,ItemPurchase,-576.0,285807.6,,
Lily Barton (Katalytica Daily Wage),177,Wage,-344.0,284295.6,WK7WS,
5 8th Street Rent,177,Rent,-135.4097,290663.6,,
5 8th Street Deposit,177,Deposit,-4512.292,290799.0,,
Purchase from Square Appliances,177,ItemPurchase,-2670.0,295311.3,,
Purchase from AJ Pederson & Son,177,ItemPurchase,-4280.0,286383.6,,
Lindsey Richardson (Elite Jewels Daily Wage),178,Wage,-200.0,222986.0,CGCEK,
Maria Willis (Karvin Kueen Daily Wage),178,Wage,-200.0,223186.0,K3NN0,
Tristan Barker (Katalytica Daily Wage),178,Wage,-536.0,222018.0,WK7WS,
Maya Turner (Karvin Kueen Daily Wage),178,Wage,-32.0,221986.0,K3NN0,
Mollie Jenkins (KaraKata Holdings Daily Wage),178,Wage,-224.0,221762.0,,
Oscar Evans (Katar Spirits Daily Wage),178,Wage,-46.0,221716.0,TJ27F,
Olivia Cox (Katalytica Daily Wage),178,Wage,-432.0,222554.0,WK7WS,
Katalytica Revenue,178,Revenue,5400.0,230165.8,WK7WS,
Curtis Norris (Elite Jewels Daily Wage),178,Wage,-184.0,221268.0,CGCEK,
Douglas Collins (KaraKata Holdings Daily Wage),178,Wage,-44.0,221224.0,,
Dominic Fisher (Elite Jewels Daily Wage),178,Wage,-184.0,221040.0,CGCEK,
Public parking for UMC Desert,178,PublicParking,-60.0,220980.0,,
Katar Spirits Revenue,178,Revenue,4050.0,224893.9,TJ27F,
Grover Brown (KaraKata Holdings Daily Wage),178,Wage,-200.0,223386.0,,
Karvin Kueen Revenue,178,Revenue,1275.0,231398.6,K3NN0,
Elite Jewels Revenue,178,Revenue,40000.0,270104.7,CGCEK,
Annabelle Stewart (Katar Spirits Daily Wage),178,Wage,-264.0,221452.0,TJ27F,
Lara Norris (Warehouse #1 Daily Wage),178,Wage,-153.9,223586.0,,
Marketing campaigns for Karvin Kueen,178,Marketing,-500.0,338118.3,K3NN0,
Christian Hall (KaraKata Holdings Daily Wage),178,Wage,-184.0,223963.9,,
48 1st Street Rent,178,Rent,-12.32229,281579.3,,
30 4th Avenue Rent,178,Rent,-85.7595,281455.6,,
59 3rd Street Rent,178,Rent,-75.99196,286236.6,,
1 5th Street Rent,178,Rent,-52.13275,286184.4,,
7 3rd Avenue Rent,178,Rent,-42.2027,291542.3,,
5 8th Street Rent,178,Rent,-135.4097,293276.8,,
30 2nd Avenue Rent,178,Rent,-1158.506,292118.3,,
Marketing campaigns for Katar Spirits,178,Marketing,-500.0,339118.3,TJ27F,
Marketing campaigns for Katalytica,178,Marketing,-500.0,338618.3,WK7WS,
Marketing campaigns for Elite Jewels,178,Marketing,-6500.0,331618.3,CGCEK,
Asia Dynamic Industries investment,178,Investment,-100000.0,231618.3,,
Lace Global A payout,178,InvestmentPayout,24689.72,256308.1,,
HG China Bonds payout,178,InvestmentPayout,20331.85,276639.9,,
Asia Dynamic Industries investment,178,Investment,-50000.0,226639.9,,
Recruitment Campaign,178,RecruitmentCampaign,-2000.0,224639.9,,
Evie Jones (Katalytica Daily Wage),178,Wage,-448.0,224191.9,WK7WS,
Tommy Brooks (Katalytica Daily Wage),178,Wage,-44.0,224147.9,WK7WS,
Merit Johnson (KaraKata Holdings Daily Wage),178,Wage,-224.0,223739.9,,
42 3rd Street Rent,178,Rent,-38.02306,281541.3,,
Marketing campaigns for Elite Couture,179,Marketing,-100.0,252721.7,YVK4E,
48 1st Street Rent,179,Rent,-12.32229,220967.7,,
Sold 100x Donut,179,ItemSold,49.03174,252625.3,,
Sold 100x Donut,179,ItemSold,49.03174,252674.4,,
Sold 100x Donut,179,ItemSold,49.03174,252723.4,,
Evie Jones (Katalytica Daily Wage),179,Wage,-448.0,252275.4,WK7WS,
Tommy Brooks (Katalytica Daily Wage),179,Wage,-44.0,252231.4,WK7WS,
Christian Hall (KaraKata Holdings Daily Wage),179,Wage,-184.0,252047.4,,
Lara Norris (Warehouse #1 Daily Wage),179,Wage,-153.9,251669.5,,
Grover Brown (KaraKata Holdings Daily Wage),179,Wage,-200.0,251469.5,,
Maria Willis (Karvin Kueen Daily Wage),179,Wage,-200.0,251269.5,K3NN0,
Lindsey Richardson (Elite Jewels Daily Wage),179,Wage,-200.0,251069.5,CGCEK,
Olivia Cox (Katalytica Daily Wage),179,Wage,-432.0,250637.5,WK7WS,
Tristan Barker (Katalytica Daily Wage),179,Wage,-536.0,250101.5,WK7WS,
Maya Turner (Karvin Kueen Daily Wage),179,Wage,-32.0,250069.5,K3NN0,
Mollie Jenkins (KaraKata Holdings Daily Wage),179,Wage,-224.0,249845.5,,
Oscar Evans (Katar Spirits Daily Wage),179,Wage,-46.0,249799.5,TJ27F,
Annabelle Stewart (Katar Spirits Daily Wage),179,Wage,-198.0,249601.5,TJ27F,
Abbie Lopez (Katar Spirits Daily Wage),179,Wage,-56.0,249545.5,TJ27F,
Curtis Norris (Elite Jewels Daily Wage),179,Wage,-184.0,249361.5,CGCEK,
Douglas Collins (KaraKata Holdings Daily Wage),179,Wage,-44.0,249317.5,,
Dominic Fisher (Elite Jewels Daily Wage),179,Wage,-184.0,249133.5,CGCEK,
Lilly Harris (Elite Couture Daily Wage),179,Wage,-144.0,248989.5,YVK4E,
Lara Wright (Elite Couture Daily Wage),179,Wage,-232.0,248757.5,YVK4E,
Katar Spirits Revenue,179,Revenue,4857.0,253478.4,TJ27F,
Katalytica Revenue,179,Revenue,5400.0,258750.3,WK7WS,
Karvin Kueen Revenue,179,Revenue,1870.0,260578.1,K3NN0,
Elite Couture Revenue,179,Revenue,19814.0,280256.7,YVK4E,
Elite Jewels Revenue,179,Revenue,40000.0,319098.2,CGCEK,
Sold 100x Donut,179,ItemSold,49.03174,252576.3,,
Sold 100x Donut,179,ItemSold,49.03174,252527.3,,
Merit Johnson (KaraKata Holdings Daily Wage),179,Wage,-224.0,251823.4,,
Sold 100x Croissant,179,ItemSold,54.90638,252429.2,,
42 3rd Street Rent,179,Rent,-38.02306,220929.7,,
30 4th Avenue Rent,179,Rent,-85.7595,220843.9,,
59 3rd Street Rent,179,Rent,-75.99196,224817.9,,
1 5th Street Rent,179,Rent,-52.13275,224765.8,,
7 3rd Avenue Rent,179,Rent,-42.2027,230123.6,,
5 8th Street Rent,179,Rent,-135.4097,231263.2,,
Sold 100x Donut,179,ItemSold,49.03174,252478.3,,
Marketing campaigns for Katar Spirits,179,Marketing,-500.0,269604.7,TJ27F,
Marketing campaigns for Katalytica,179,Marketing,-500.0,269104.7,WK7WS,
Marketing campaigns for Karvin Kueen,179,Marketing,-500.0,268604.7,K3NN0,
Marketing campaigns for Elite Jewels,179,Marketing,-6500.0,262104.7,CGCEK,
Purchase from El Gato Food Market,179,ItemPurchase,-80.0,262024.7,,
Purchase from Square Appliances,179,ItemPurchase,-200.0,261824.7,,
Subway Ride,179,SubwayRide,-3.0,261821.7,,
30 2nd Avenue Rent,179,Rent,-1158.506,230104.7,,
Marketing campaigns for Elite Couture,179,Marketing,-6000.0,253321.7,YVK4E,
Sold 100x Croissant,179,ItemSold,54.90638,252374.3,,
Sold 100x Cupcake,179,ItemSold,58.4519,252319.4,,
Sold 100x Cupcake,179,ItemSold,58.4519,252261.0,,
Marketing campaigns for Elite Couture,179,Marketing,-2500.0,259321.7,YVK4E,
Sold 100x Cupcake,179,ItemSold,58.4519,252144.0,,
Sold 100x Cupcake,179,ItemSold,58.4519,252085.6,,
Sold 100x Cupcake,179,ItemSold,58.4519,252202.5,,
Subway Ride,179,SubwayRide,-3.0,251968.7,,
Marketing campaigns for Elite Couture,179,Marketing,-500.0,251971.7,YVK4E,
Marketing campaigns for Elite Couture,179,Marketing,-250.0,252471.7,YVK4E,
Sold 100x Cupcake,179,ItemSold,58.4519,252027.1,,
Marketing campaigns for Elite Couture,179,Marketing,-500.0,252821.7,YVK4E,
Lara Norris (Warehouse #1 Daily Wage),180,Wage,-153.9,308094.3,,
Grover Brown (KaraKata Holdings Daily Wage),180,Wage,-200.0,307894.3,,
Maria Willis (Karvin Kueen Daily Wage),180,Wage,-100.0,307794.3,K3NN0,
Tristan Barker (Katalytica Daily Wage),180,Wage,-402.0,307392.3,WK7WS,
Maya Turner (Karvin Kueen Daily Wage),180,Wage,-160.0,307232.3,K3NN0,
Mollie Jenkins (KaraKata Holdings Daily Wage),180,Wage,-224.0,307008.3,,
Oscar Evans (Katar Spirits Daily Wage),180,Wage,-46.0,306962.3,TJ27F,
Abbie Lopez (Katar Spirits Daily Wage),180,Wage,-224.0,306738.3,TJ27F,
Traci Parker (Elite Jewels Daily Wage),180,Wage,-286.0,306452.3,CGCEK,
Elite Jewels Revenue,180,Revenue,45000.0,404255.0,CGCEK,
Dominic Fisher (Elite Jewels Daily Wage),180,Wage,-184.0,306224.3,CGCEK,
Frederick Kelly (Elite Couture Daily Wage),180,Wage,-27.0,306197.3,YVK4E,
Lilly Harris (Elite Couture Daily Wage),180,Wage,-288.0,305909.3,YVK4E,
Lara Wright (Elite Couture Daily Wage),180,Wage,-232.0,305677.3,YVK4E,
Katalytica Revenue,180,Revenue,12600.0,323221.1,WK7WS,
Karvin Kueen Revenue,180,Revenue,1870.0,325048.9,K3NN0,
Elite Couture Revenue,180,Revenue,35500.0,360413.5,YVK4E,
Douglas Collins (KaraKata Holdings Daily Wage),180,Wage,-44.0,306408.3,,
Merit Johnson (KaraKata Holdings Daily Wage),180,Wage,-224.0,308248.2,,
Katar Spirits Revenue,180,Revenue,5208.0,310749.2,TJ27F,
